Name	Lat	Lng	Type	Verses	Source	Confidence	SourceDetail
Babylon	32.543333	44.422222	city	2Kgs.17.24,2Kgs.17.30,2Kgs.20.12,2Kgs.20.14,2Kgs.20.17,2Kgs.20.18,2Kgs.24.1,2Kgs.24.7,2Kgs.24.10,2Kgs.24.11,2Kgs.24.12,2Kgs.24.15,2Kgs.24.16,2Kgs.24.17,2Kgs.24.20,2Kgs.25.1,2Kgs.25.6,2Kgs.25.7,2Kgs.25.8,2Kgs.25.11,2Kgs.25.13,2Kgs.25.20,2Kgs.25.21,2Kgs.25.22,2Kgs.25.23,2Kgs.25.24,2Kgs.25.27,2Kgs.25.28,1Chr.9.1,2Chr.32.31,2Chr.33.11,2Chr.36.6,2Chr.36.7,2Chr.36.10,2Chr.36.18,2Chr.36.20,Ezra.2.1,Ezra.5.12,Ezra.5.13,Ezra.5.14,Ezra.5.17,Ezra.6.5,Neh.7.6,Neh.13.6,Esth.2.6,Ps.87.4,Ps.137.1,Ps.137.8,Isa.13.1,Isa.13.19,Isa.14.4,Isa.14.22,Isa.21.9,Isa.39.1,Isa.39.3,Isa.39.6,Isa.39.7,Isa.43.14,Isa.47.1,Isa.48.14,Isa.48.20,Jer.20.4,Jer.20.5,Jer.20.6,Jer.21.2,Jer.21.4,Jer.21.7,Jer.21.10,Jer.22.25,Jer.24.1,Jer.25.1,Jer.25.9,Jer.25.11,Jer.25.12,Jer.25.26,Jer.27.6,Jer.27.8,Jer.27.9,Jer.27.11,Jer.27.12,Jer.27.13,Jer.27.14,Jer.27.16,Jer.27.17,Jer.27.18,Jer.27.20,Jer.27.22,Jer.28.2,Jer.28.3,Jer.28.4,Jer.28.6,Jer.28.11,Jer.28.14,Jer.29.1,Jer.29.3,Jer.29.4,Jer.29.10,Jer.29.15,Jer.29.20,Jer.29.21,Jer.29.22,Jer.29.28,Jer.32.2,Jer.32.3,Jer.32.4,Jer.32.5,Jer.32.28,Jer.32.36,Jer.34.1,Jer.34.2,Jer.34.3,Jer.34.7,Jer.34.21,Jer.35.11,Jer.36.29,Jer.37.1,Jer.37.17,Jer.37.19,Jer.38.3,Jer.38.17,Jer.38.18,Jer.38.22,Jer.38.23,Jer.39.1,Jer.39.3,Jer.39.5,Jer.39.6,Jer.39.7,Jer.39.9,Jer.39.11,Jer.39.13,Jer.40.1,Jer.40.4,Jer.40.5,Jer.40.7,Jer.40.9,Jer.40.11,Jer.41.2,Jer.41.18,Jer.42.11,Jer.43.3,Jer.43.10,Jer.44.30,Jer.46.2,Jer.46.13,Jer.46.26,Jer.49.28,Jer.49.30,Jer.50.1,Jer.50.2,Jer.50.8,Jer.50.9,Jer.50.13,Jer.50.14,Jer.50.16,Jer.50.17,Jer.50.18,Jer.50.23,Jer.50.24,Jer.50.28,Jer.50.29,Jer.50.34,Jer.50.35,Jer.50.42,Jer.50.43,Jer.50.45,Jer.50.46,Jer.51.1,Jer.51.2,Jer.51.6,Jer.51.7,Jer.51.8,Jer.51.9,Jer.51.11,Jer.51.12,Jer.51.24,Jer.51.29,Jer.51.30,Jer.51.31,Jer.51.33,Jer.51.34,Jer.51.35,Jer.51.37,Jer.51.41,Jer.51.42,Jer.51.44,Jer.51.47,Jer.51.48,Jer.51.49,Jer.51.53,Jer.51.54,Jer.51.55,Jer.51.56,Jer.51.58,Jer.51.59,Jer.51.60,Jer.51.61,Jer.51.64,Jer.52.3,Jer.52.4,Jer.52.9,Jer.52.10,Jer.52.11,Jer.52.12,Jer.52.15,Jer.52.17,Jer.52.26,Jer.52.27,Jer.52.31,Jer.52.32,Jer.52.34,Ezek.12.13,Ezek.17.12,Ezek.17.16,Ezek.17.20,Ezek.19.9,Ezek.21.19,Ezek.21.21,Ezek.24.2,Ezek.26.7,Ezek.29.18,Ezek.29.19,Ezek.30.10,Ezek.30.24,Ezek.30.25,Ezek.32.11,Dan.1.1,Dan.2.12,Dan.2.14,Dan.2.18,Dan.2.24,Dan.2.48,Dan.2.49,Dan.3.1,Dan.3.12,Dan.3.30,Dan.4.6,Dan.4.29,Dan.4.30,Dan.5.7,Dan.7.1,Mic.4.10,Zech.2.7,Zech.6.10,Matt.1.11,Matt.1.12,Matt.1.17,Acts.7.43,1Pet.5.13,Rev.14.8,Rev.16.19,Rev.17.5,Rev.18.2,Rev.18.10,Rev.18.21	gnosis	medium	openbible
Babylonia	32.543333	44.422222	region	Ezra.1.11,Ezra.6.1,Ezra.7.6,Ezra.7.9,Ezra.7.16,Ezra.8.1	gnosis	medium	openbible
Baharum	31.824736	35.388486	city	1Chr.11.33	gnosis	medium	theographic
Bahurim	31.7912	35.25694	city	2Sam.3.16,2Sam.16.5,2Sam.17.18,2Sam.19.16,2Sam.23.31,1Kgs.2.8	gnosis	medium	openbible
Balah	31.142053	34.91217	city	Josh.19.3	gnosis	medium	openbible
Bamah	31.84684773	35.18491238	city	Ezek.20.29	gnosis	medium	theographic
Bamoth	31.731791	35.740891	city	Num.21.19,Num.21.20	gnosis	medium	openbible
Bamoth-baal	31.731791	35.740891	city	Num.22.41,Josh.13.17	gnosis	medium	openbible
Bashan	32.781111	35.934722	region	Num.21.33,Num.32.33,Deut.1.4,Deut.3.1,Deut.3.3,Deut.3.4,Deut.3.10,Deut.3.11,Deut.3.13,Deut.4.43,Deut.4.47,Deut.29.7,Deut.32.14,Deut.33.22,Josh.9.10,Josh.12.4,Josh.12.5,Josh.13.11,Josh.13.12,Josh.13.30,Josh.13.31,Josh.17.1,Josh.17.5,Josh.20.8,Josh.21.6,Josh.21.27,Josh.22.7,1Kgs.4.13,1Kgs.4.19,2Kgs.10.33,1Chr.5.11,1Chr.5.12,1Chr.5.16,1Chr.5.23,1Chr.6.62,1Chr.6.71,Neh.9.22,Ps.22.12,Ps.68.15,Ps.68.22,Ps.135.11,Ps.136.20,Isa.2.13,Isa.33.9,Jer.22.20,Jer.50.19,Ezek.27.6,Ezek.39.18,Amos.4.1,Mic.7.14,Nah.1.4,Zech.11.2	gnosis	medium	openbible
Bath-rabbim	31.800811	35.809062	landmark	Song.7.4	gnosis	medium	openbible
